step no.,uptime,x,y,z,u,v,w,p,q,r,p_m,q_m,r_m,p_t,q_t,r_t,lm_p,lm_q,lm_r
1,0.015807382995262742,0.012247894890606403,0.01794435642659664,-0.024191157892346382,-0.019831370562314987,-0.005252933129668236,0.005240150261670351,0.0,0.0,0.0,0.0,-0.0,-0.2900000214576721,0.0,0.0,-0.08700000643730163,0.3,0.3,0.3
2,0.053267513983882964,-0.0009168068994767965,0.016593265626579524,-0.030423710099421443,-0.003316399408504367,-0.0032470780424773693,-0.001207459601573646,0.249999863659529,0,0.249999780868035,0.0,-0.0,-0.2900000214576721,0.249999863659529,0,0.0904998326145896,0.0500001363404708,0.300000000000000,0.549999780868035
3,0.2572254400001839,-0.0009168068994767965,0.016593265626579524,-0.03390371035691351,-0.003316399408504367,-0.0032470780424773693,-0.001207459601573646,0.249995398220940,-0.0224853628960946,0.249994904650818,0.0,-0.0,-0.2900000214576721,0.249995398220940,-0.0224853628960946,0.0904963705004704,0.0500046017790600,0.322485362896095,0.549994904650818
4,0.47430126601830125,0.0103615141326761,0.0157707939157262,-0.0295520219823985,0.0481369292094436,0.0482017333117377,0.0360048291469988,0.249995398139347,-0.0224859010723584,0.249994907586406,0.0,-0.0,-0.2900000214576721,0.249995398139347,-0.0224859010723584,0.0904963725847381,0.0500046018606534,0.322485901072358,0.549994907586406
5,0.6748371709836647,0.0154698039825022,0.0119942510660978,-0.0275838426155390,0.0715054468954650,0.0375749710718838,0.0620788596342054,0.249995099953042,-0.160237860537514,0.249994679826525,0.0,-0.0,-0.2900000214576721,0.249995099953042,-0.160237860537514,0.0904962108752272,0.0500049000469582,0.460237860537514,0.549994679826525
6,0.9013344410341233,0.0123869072625785,0.0127525082349137,-0.0360372845022187,0.0501293975293633,0.0465385343022176,0.0296200411002614,0.249994992611541,-0.123991670513969,0.249994551007495,0.0,-0.0,-0.2900000214576721,0.249994992611541,-0.123991670513969,0.0904961194137186,0.0500050073884594,0.423991670513969,0.549994551007495
7,1.0984767660265788,0.0111973109045864,0.00581342111723840,-0.0250269716035480,0.0482449274723681,0.0429359538694176,0.0837077898186895,0.249995092275381,-0.149803050198921,0.249994688442133,0.0,-0.0,-0.2900000214576721,0.249995092275381,-0.149803050198921,0.0904962169923086,0.0500049077246187,0.449803050198921,0.549994688442133
8,1.2759590710047632,0.00614180576457017,0.00676206248035745,-0.0330988811953288,0.0340546573246982,0.0454193175505068,0.0403225206504729,0.249995114102859,-0.126528314462375,0.249994575510855,0.0,-0.0,-0.2900000214576721,0.249995114102859,-0.126528314462375,0.0904961368111037,0.0500048858971407,0.426528314462375,0.549994575510855
9,1.493063137982972,0.00874989368471564,0.00503438076520886,-0.0284530888088636,0.0549063042496920,0.0457765052785755,0.0684049774652005,0.249995193082940,-0.134870181660742,0.249994712690145,0.0,-0.0,-0.2900000214576721,0.249995193082940,-0.134870181660742,0.0904962342083967,0.0500048069170603,0.434870181660742,0.549994712690145
10,1.674679412972182,0.00384596930101112,0.00583082104442730,-0.0370136221124043,0.0373467551186480,0.0476578974272855,0.0326483826726474,0.249995086001066,-0.132742129699485,0.249994592895446,0.0,-0.0,-0.2900000214576721,0.249995086001066,-0.132742129699485,0.0904961491541630,0.0500049139989338,0.432742129699485,0.549994592895446
11,1.8812448940007016,0.0142349057220708,0.00490138927066266,-0.0263941164469698,0.0843037915624879,0.0472212565805964,0.0844338600732587,0.249995179431811,-0.139199318301421,0.249994724782657,0.0,-0.0,-0.2900000214576721,0.249995179431811,-0.139199318301421,0.0904962427940799,0.0500048205681888,0.439199318301421,0.549994724782657
12,2.0753467429894954,0.0104694962714360,0.00341440880800898,-0.0340679997482238,0.0536880646150227,0.0439645526248630,0.0415619788009341,0.249994931751775,-0.136613166401119,0.249994471378434,0.0,-0.0,-0.2900000214576721,0.249994931751775,-0.136613166401119,0.0904960628770873,0.0500050682482251,0.436613166401119,0.549994471378434
13,2.2955045780399814,0.0141807829827748,0.00318298065354956,-0.0242373399137384,0.0677382089112551,0.0485242197670639,0.0860628373835833,0.249995087869637,-0.124817071590364,0.249994652731338,0.0,-0.0,-0.2900000214576721,0.249995087869637,-0.124817071590364,0.0904961916376448,0.0500049121303634,0.424817071590364,0.549994652731338
14,2.4848133489722386,0.00970601235553273,0.000884879549072941,-0.0334297467910326,0.0443363802525972,0.0418727125990961,0.0387958947587584,0.249995013931246,-0.136701072734730,0.249994512622821,0.0,-0.0,-0.2900000214576721,0.249995013931246,-0.136701072734730,0.0904960921606013,0.0500049860687539,0.436701072734730,0.549994512622821
15,2.6791865240084007,0.0167644904838943,0.00226908907794296,-0.0288091508346029,0.0758830200210556,0.0514775189366534,0.0684315490797505,0.249995135175243,-0.114320001386841,0.249994684367619,0.0,-0.0,-0.2900000214576721,0.249995135175243,-0.114320001386841,0.0904962140994037,0.0500048648247565,0.414320001386841,0.549994684367619
16,2.9077376150526106,0.0119096460658849,-0.00154149296436255,-0.0412894454203026,0.0468474525957260,0.0406021507921520,0.0216754250693026,0.249994967649041,-0.143059079103828,0.249994526723148,0.0,-0.0,-0.2900000214576721,0.249994967649041,-0.143059079103828,0.0904961021718330,0.0500050323509590,0.443059079103828,0.549994526723148
17,3.0720596009632573,0.0202981990737540,0.00118821666356962,-0.0371594041588832,0.0809586387936384,0.0544761302758367,0.0586917069618017,0.249995117708455,-0.106349525152386,0.249994715884022,0.0,-0.0,-0.2900000214576721,0.249995117708455,-0.106349525152386,0.0904962364760492,0.0500048822915450,0.406349525152386,0.549994715884022
18,3.276132693979889,0.0165389806518071,-0.00344230910899879,-0.0504392113607051,0.0519897544392016,0.0414637499590036,0.0145817608673689,0.249994934702610,-0.149223290686586,0.249994535952518,0.0,-0.0,-0.2900000214576721,0.249994934702610,-0.149223290686586,0.0904961087246851,0.0500050652973903,0.449223290686586,0.549994535952518
19,3.485223905998282,0.0190109708785777,-0.00234109184215428,-0.0428894183032614,0.0624293300657293,0.0475746656170806,0.0700940869151375,0.249995083788445,-0.105107929249927,0.249994718355135,0.0,-0.0,-0.2900000214576721,0.249995083788445,-0.105107929249927,0.0904962382305392,0.0500049162115549,0.405107929249927,0.549994718355134
20,3.6758845660369843,0.0128610503739991,-0.00837822379125642,-0.0542273358685171,0.0370036609803030,0.0359574681480119,0.0255693490017841,0.249995030164591,-0.123662678498397,0.249994569940393,0.0,-0.0,-0.2900000214576721,0.249995030164591,-0.123662678498397,0.0904961328560755,0.0500049698354090,0.423662678498397,0.549994569940393
21,3.8794818420428783,0.0165595644063517,-0.00150205023171118,-0.0456202150917501,0.0611768797520619,0.0647076130393963,0.0764820831377130,0.249995165563739,-0.0808259210760404,0.249994744912656,0.0,-0.0,-0.2900000214576721,0.249995165563739,-0.0808259210760404,0.0904962570863787,0.0500048344362610,0.380825921076040,0.549994744912656
22,4.068047311971895,0.00972411729134109,-0.00567229350748357,-0.0583323231802199,0.0347196598872287,0.0462745418175800,0.0244645512997849,0.249995032850983,-0.171746648718835,0.249994570613133,0.0,-0.0,-0.2900000214576721,0.249995032850983,-0.171746648718835,0.0904961333337213,0.0500049671490174,0.471746648718835,0.549994570613133
23,4.268159006955102,0.0151196564105746,0.000999375384387832,-0.0455441148523576,0.0675416374697520,0.0679777609302832,0.0910100573792292,0.249995182977013,-0.113661953314289,0.249994759941278,0.0,-0.0,-0.2900000214576721,0.249995182977013,-0.113661953314289,0.0904962677567000,0.0500048170229872,0.413661953314289,0.549994759941278
24,4.474916378036141,0.00789943099028818,-0.00532184603354540,-0.0559635537389406,0.0369573827021483,0.0499761628681696,0.0363188856401209,0.249995000149428,-0.185673363369353,0.249994530711036,0.0,-0.0,-0.2900000214576721,0.249995000149428,-0.185673363369353,0.0904961050032335,0.0500049998505721,0.485673363369353,0.549994530711036
25,4.673854834050871,0.0123788617438991,-0.00711206577488316,-0.0579460006167639,0.0641670364441260,0.0377037709133609,0.0456780095139428,0.249995175536039,-0.124284133244003,0.249994729854047,0.0,-0.0,-0.2900000214576721,0.249995175536039,-0.124284133244003,0.0904962463947669,0.0500048244639605,0.424284133244003,0.549994729854047
26,4.89151526405476,0.00587411350389298,-0.0141938748621353,-0.0727063800077488,0.0368887190616367,0.0328100467941402,0.00534922023328524,0.249995033459525,-0.0880378429133408,0.249994632594372,0.0,-0.0,-0.2900000214576721,0.249995033459525,-0.0880378429133408,0.0904961773403993,0.0500049665404751,0.388037842913341,0.549994632594372
27,5.09304099495057,0.00915944383558881,-0.00812001282064895,-0.0657666262362499,0.0606054879298931,0.0578492229378349,0.0634035544043905,0.249995178338937,-0.0613531171043905,0.249994807900587,0.0,-0.0,-0.2900000214576721,0.249995178338937,-0.0613531171043905,0.0904963018078088,0.0500048216610629,0.361353117104390,0.549994807900587
28,5.267962806974538,0.00166214353284878,-0.00983107188831255,-0.0787827055706640,0.0327934908154926,0.0442338009770534,0.0178342020544729,0.249995057088783,-0.140339262821563,0.249994617183110,0.0,-0.0,-0.2900000214576721,0.249995057088783,-0.140339262821563,0.0904961663984042,0.0500049429112172,0.440339262821563,0.549994617183110
29,5.476247927057557,0.00250924341495542,-0.00562704868122018,-0.0763282719378035,0.0464256694597854,0.0583101434224948,0.0458507549540802,0.249995207430172,-0.100283347217318,0.249994803506413,0.0,-0.0,-0.2900000214576721,0.249995207430172,-0.100283347217318,0.0904962986879448,0.0500047925698280,0.400283347217318,0.549994803506413
30,5.67030811496079,-0.00102897068152227,-0.00656935162063094,-0.0822106987694789,0.0343819062392216,0.0562040346841316,0.0239161753262382,0.249995137837276,-0.146212989487455,0.249994706980981,0.0,-0.0,-0.2900000214576721,0.249995137837276,-0.146212989487455,0.0904962301548905,0.0500048621627236,0.446212989487455,0.549994706980981
31,5.875496541033499,0.00273959655379248,-0.00437874611589865,-0.0705335117571636,0.0637031458350515,0.0560747850718594,0.0934216585042572,0.249995204627533,-0.138627411706178,0.249994792401913,0.0,-0.0,-0.2900000214576721,0.249995204627533,-0.138627411706178,0.0904962908037501,0.0500047953724671,0.438627411706178,0.549994792401913
32,6.075850902008824,-0.00574521793825445,-0.00832608996982695,-0.0826955550450222,0.0314002214544506,0.0462913860646130,0.0330128046297521,0.249995054796416,-0.142636674635534,0.249994559082211,0.0,-0.0,-0.2900000214576721,0.249995054796416,-0.142636674635534,0.0904961251467667,0.0500049452035838,0.442636674635534,0.549994559082211
